,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-05-01,2020-05-08,1351,2335,3319
1,Albania,2020-05-01,2020-05-08,678,782,886
2,Algeria,2020-05-01,2020-05-08,3127,4154,5181
3,Andorra,2020-05-01,2020-05-08,731,745,759
4,Angola,2020-05-01,2020-05-08,25,30,35
5,Antigua and Barbuda,2020-05-01,2020-05-08,24,25,26
6,Argentina,2020-05-01,2020-05-08,3607,4532,5457
7,Armenia,2020-05-01,2020-05-08,1596,2148,2700
8,Australia,2020-05-01,2020-05-08,6677,6778,6879
9,Austria,2020-05-01,2020-05-08,15071,15531,15991
10,Azerbaijan,2020-05-01,2020-05-08,1592,1854,2116
11,Bahamas,2020-05-01,2020-05-08,73,81,89
12,Bahrain,2020-05-01,2020-05-08,2518,3170,3822
13,Bangladesh,2020-05-01,2020-05-08,4689,8238,11787
14,Barbados,2020-05-01,2020-05-08,77,81,85
15,Belarus,2020-05-01,2020-05-08,8773,14917,21061
16,Belgium,2020-05-01,2020-05-08,44293,49032,53771
17,Benin,2020-05-01,2020-05-08,54,90,126
18,Bhutan,2020-05-01,2020-05-08,7,7,7
19,Bolivia,2020-05-01,2020-05-08,807,1229,1651
20,Bosnia and Herzegovina,2020-05-01,2020-05-08,1421,1781,2141
21,Brazil,2020-05-01,2020-05-08,54043,92202,130361
22,Brunei,2020-05-01,2020-05-08,138,138,138
23,Bulgaria,2020-05-01,2020-05-08,1234,1555,1876
24,Burkina Faso,2020-05-01,2020-05-08,629,649,669
25,Cabo Verde,2020-05-01,2020-05-08,88,122,156
26,Cambodia,2020-05-01,2020-05-08,122,122,122
27,Cameroon,2020-05-01,2020-05-08,1430,1832,2234
28,Canada,2020-05-01,2020-05-08,44919,56343,67767
29,Central African Republic,2020-05-01,2020-05-08,16,72,128
30,Chad,2020-05-01,2020-05-08,40,73,106
31,Chile,2020-05-01,2020-05-08,12306,17008,21710
32,China,2020-05-01,2020-05-08,83899,83959,84019
33,Colombia,2020-05-01,2020-05-08,4881,7006,9131
34,Congo (Brazzaville),2020-05-01,2020-05-08,200,229,258
35,Congo (Kinshasa),2020-05-01,2020-05-08,394,604,814
36,Costa Rica,2020-05-01,2020-05-08,687,725,763
